"case_date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinated_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million"
"2021-02-28","0","0",NULL,NULL,NULL,"0.000","0.000",NULL,NULL
"2021-03-01","756","756",NULL,"756","756","0.000","0.000",NULL,"7.000"
"2021-03-02","2793","2793",NULL,"2037","1396","0.000","0.000",NULL,"13.000"
"2021-03-03",NULL,NULL,NULL,NULL,"2132",NULL,NULL,NULL,"19.000"
"2021-03-04","10000","10000",NULL,NULL,"2500","0.010","0.010",NULL,"23.000"
"2021-03-05",NULL,NULL,NULL,NULL,"3514",NULL,NULL,NULL,"32.000"
"2021-03-06","25138","25138",NULL,NULL,"4190","0.020","0.020",NULL,"38.000"
"2021-03-07","29266","29266",NULL,"4128","4181","0.030","0.030",NULL,"38.000"
"2021-03-08","44000","44000",NULL,"14734","6178","0.040","0.040",NULL,"56.000"
"2021-03-09","89077","89077",NULL,"45077","12326","0.080","0.080",NULL,"112.000"
"2021-03-10","114500","114500",NULL,"25423","15443","0.100","0.100",NULL,"141.000"
"2021-03-11",NULL,NULL,NULL,NULL,"18690",NULL,NULL,NULL,"171.000"
"2021-03-12",NULL,NULL,NULL,NULL,"21370",NULL,NULL,NULL,"195.000"
"2021-03-13","193492","193492",NULL,NULL,"24051","0.180","0.180",NULL,"219.000"
"2021-03-14",NULL,NULL,NULL,NULL,"25068",NULL,NULL,NULL,"229.000"
"2021-03-15","215997","215997",NULL,NULL,"24571","0.200","0.200",NULL,"224.000"
"2021-03-16","216794","216794",NULL,"797","18245","0.200","0.200",NULL,"166.000"
"2021-03-17","269583","269583",NULL,"52789","22155","0.250","0.250",NULL,"202.000"
"2021-03-18",NULL,NULL,NULL,NULL,"21587",NULL,NULL,NULL,"197.000"
"2021-03-19",NULL,NULL,NULL,NULL,"21020",NULL,NULL,NULL,"192.000"
"2021-03-20","336656","336656",NULL,NULL,"20452","0.310","0.310",NULL,"187.000"
"2021-03-21",NULL,NULL,NULL,NULL,"27020",NULL,NULL,NULL,"247.000"
"2021-03-22",NULL,NULL,NULL,NULL,"33587",NULL,NULL,NULL,"307.000"
"2021-03-23","508332","508332",NULL,NULL,"41648","0.460","0.460",NULL,"380.000"
"2021-03-24",NULL,NULL,NULL,NULL,"39393",NULL,NULL,NULL,"359.000"
"2021-03-25",NULL,NULL,NULL,NULL,"41484",NULL,NULL,NULL,"379.000"
"2021-03-26",NULL,NULL,NULL,NULL,"43576",NULL,NULL,NULL,"398.000"
"2021-03-27","656331","656331",NULL,NULL,"45668","0.600","0.600",NULL,"417.000"
"2021-03-28",NULL,NULL,NULL,NULL,"41425",NULL,NULL,NULL,"378.000"
"2021-03-29",NULL,NULL,NULL,NULL,"37183",NULL,NULL,NULL,"339.000"
"2021-03-30","738913","737569","1344",NULL,"32940","0.670","0.670","0.000","301.000"
"2021-03-31",NULL,NULL,NULL,NULL,"30429",NULL,NULL,NULL,"278.000"
"2021-04-01",NULL,NULL,NULL,NULL,"27918",NULL,NULL,NULL,"255.000"
"2021-04-02",NULL,NULL,NULL,NULL,"25408",NULL,NULL,NULL,"232.000"
"2021-04-03",NULL,"795320",NULL,NULL,"22897",NULL,"0.730",NULL,"209.000"
"2021-04-04",NULL,NULL,NULL,NULL,"21739",NULL,NULL,NULL,"198.000"
"2021-04-05","855457","826607","28850",NULL,"20582","0.780","0.750","0.030","188.000"
"2021-04-06","922898","872213","50685","67441","26284","0.840","0.800","0.050","240.000"
"2021-04-07",NULL,NULL,NULL,NULL,"29701",NULL,NULL,NULL,"271.000"
"2021-04-08",NULL,NULL,NULL,NULL,"33119",NULL,NULL,NULL,"302.000"
"2021-04-09",NULL,NULL,NULL,NULL,"36537",NULL,NULL,NULL,"333.000"
"2021-04-10",NULL,NULL,NULL,NULL,"39955",NULL,NULL,NULL,"365.000"
"2021-04-11","1139644","1007356","132288",NULL,"43373","1.040","0.920","0.120","396.000"
"2021-04-12","1202297","1053256","149041","62653","49549","1.100","0.960","0.140","452.000"
"2021-04-13","1255716","1093651","162065","53419","47545","1.150","1.000","0.150","434.000"
"2021-04-14","1312356",NULL,NULL,"56640","49444","1.200",NULL,NULL,"451.000"
"2021-04-15",NULL,NULL,NULL,NULL,"50129",NULL,NULL,NULL,"457.000"
"2021-04-16",NULL,NULL,NULL,NULL,"50815",NULL,NULL,NULL,"464.000"
"2021-04-17","1456793","1264811","191982",NULL,"51500","1.330","1.150","0.180","470.000"
"2021-04-18","1477757","1279223","198534","20964","48302","1.350","1.170","0.180","441.000"
"2021-04-19","1507547",NULL,NULL,"29790","43607","1.380",NULL,NULL,"398.000"
"2021-04-20","1562563","1353107","209456","55016","43835","1.430","1.230","0.190","400.000"
"2021-04-21","1612420","1397628","214792","49857","42866","1.470","1.280","0.200","391.000"
"2021-04-22","1666687",NULL,NULL,"54267","43741","1.520",NULL,NULL,"399.000"
"2021-04-23","1732359",NULL,NULL,"65672","46245","1.580",NULL,NULL,"422.000"
"2021-04-24","1753465","1522696","230769","21106","42382","1.600","1.390","0.210","387.000"
"2021-04-25",NULL,NULL,NULL,NULL,"40421",NULL,NULL,NULL,"369.000"
"2021-04-26","1767940","1529948","237992",NULL,"37199","1.610","1.400","0.220","339.000"
"2021-04-27","1809801","1562815","246986","41861","35320","1.650","1.430","0.230","322.000"
"2021-04-28","1849566",NULL,NULL,"39765","33878","1.690",NULL,NULL,"309.000"
"2021-04-29","1880975","1614420","266555","31409","30613","1.720","1.470","0.240","279.000"
"2021-04-30","1919851","1639806","280045","38876","26785","1.750","1.500","0.260","244.000"
"2021-05-01","1941196","1656643","284553","21345","26819","1.770","1.510","0.260","245.000"
"2021-05-02",NULL,NULL,NULL,NULL,"29929",NULL,NULL,NULL,"273.000"
"2021-05-03","1999214","1689829","309385",NULL,"33039","1.820","1.540","0.280","302.000"
"2021-05-04","2065235","1744649","320586","66021","36491","1.880","1.590","0.290","333.000"
"2021-05-05","2129185","1786480","342705","63950","39946","1.940","1.630","0.310","365.000"
"2021-05-06",NULL,NULL,NULL,NULL,"48687",NULL,NULL,NULL,"444.000"
"2021-05-07","2314377","1892934","421443",NULL,"56361","2.110","1.730","0.380","514.000"
"2021-05-08","2395494","1951698","443796","81117","64900","2.190","1.780","0.400","592.000"
"2021-05-09","2408781","1957511","451270","13287","62654","2.200","1.790","0.410","572.000"
"2021-05-10",NULL,NULL,NULL,NULL,"68030",NULL,NULL,NULL,"621.000"
"2021-05-11","2542066","2024953","517113",NULL,"68119","2.320","1.850","0.470","622.000"
"2021-05-12",NULL,NULL,NULL,NULL,"71312",NULL,NULL,NULL,"651.000"
"2021-05-13","2714677",NULL,NULL,NULL,"70414","2.480",NULL,NULL,"643.000"
"2021-05-14","2790287","2154233","636054","75610","67987","2.550","1.970","0.580","620.000"
"2021-05-15","2921196","2245397","675799","130909","75100","2.670","2.050","0.620","685.000"
"2021-05-16","3001875","2282273","719602","80679","84728","2.740","2.080","0.660","773.000"
"2021-05-17",NULL,NULL,NULL,NULL,"96464",NULL,NULL,NULL,"880.000"
"2021-05-18","3299470","2512942","786528",NULL,"108201","3.010","2.290","0.720","987.000"
"2021-05-19",NULL,NULL,NULL,NULL,"125788",NULL,NULL,NULL,"1148.000"
"2021-05-20","3718308",NULL,NULL,NULL,"143376","3.390",NULL,NULL,"1308.000"
"2021-05-21","3956292","3030579","925713","237984","166572","3.610","2.770","0.840","1520.000"
"2021-05-22","4097425","3147486","949939","141133","168033","3.740","2.870","0.870","1533.000"
"2021-05-23","4169905",NULL,NULL,"72480","166861","3.810",NULL,NULL,"1523.000"
"2021-05-24","4305575","3318646","986929","135670","164986","3.930","3.030","0.900","1506.000"
"2021-05-25","4495375","3466314","1029061","189800","170844","4.100","3.160","0.940","1559.000"
"2021-05-26","4666358",NULL,NULL,"170983","165353","4.260",NULL,NULL,"1509.000"
"2021-05-27","4862358",NULL,NULL,"196000","163436","4.440",NULL,NULL,"1491.000"
"2021-05-28",NULL,NULL,NULL,NULL,"144598",NULL,NULL,NULL,"1320.000"
"2021-05-29",NULL,NULL,NULL,NULL,"139596",NULL,NULL,NULL,"1274.000"
"2021-05-30","5180721","3974350","1206371",NULL,"144402","4.730","3.630","1.100","1318.000"
"2021-05-31",NULL,NULL,NULL,NULL,"139410",NULL,NULL,NULL,"1272.000"
"2021-06-01","5382172",NULL,NULL,NULL,"126685","4.910",NULL,NULL,"1156.000"
"2021-06-02","5517523","4174416","1343107","135351","121595","5.040","3.810","1.230","1110.000"
"2021-06-03",NULL,NULL,NULL,NULL,"115824",NULL,NULL,NULL,"1057.000"
"2021-06-04","5828735","4343914","1484821",NULL,"122894","5.320","3.960","1.350","1121.000"
"2021-06-05","5907255","4386467","1520788","78520","118951","5.390","4.000","1.390","1086.000"
"2021-06-06","5965651","4421319","1544332","58396","112133","5.440","4.030","1.410","1023.000"
"2021-06-07","6096208","4491948","1604260","130557","116394","5.560","4.100","1.460","1062.000"
"2021-06-08","6314548","4632826","1681722","218340","133197","5.760","4.230","1.530","1216.000"
"2021-06-09","6470776","4724263","1746513","156228","136179","5.910","4.310","1.590","1243.000"
"2021-06-10","6614417",NULL,NULL,"143641","134470","6.040",NULL,NULL,"1227.000"
"2021-06-11",NULL,NULL,NULL,NULL,"130500",NULL,NULL,NULL,"1191.000"
"2021-06-12","6870054","5014582","1855472",NULL,"137543","6.270","4.580","1.690","1255.000"
"2021-06-13","6948549","5068855","1879694","78495","140414","6.340","4.630","1.720","1281.000"
"2021-06-14","7045380","5132000","1903000","96831","135596","6.430","4.680","1.740","1237.000"
"2021-06-15","7368309","5392859","1975450","322929","150537","6.720","4.920","1.800","1374.000"
"2021-06-16","7563241","5551087","2012154","194932","156066","6.900","5.070","1.840","1424.000"
"2021-06-17","7848392","5783258","2065134","285151","176282","7.160","5.280","1.880","1609.000"
"2021-06-18","8050711","5953810","2096901","202319","186925","7.350","5.430","1.910","1706.000"
"2021-06-19","8222759","6102625","2120134","172048","193244","7.500","5.570","1.930","1763.000"
"2021-06-20","8407342","6253400","2153942","184583","208399","7.670","5.710","1.970","1902.000"
"2021-06-21","8591406","7045380","2183489","184064","220861","7.840","6.430","1.990","2016.000"
"2021-06-22",NULL,NULL,NULL,NULL,"208700",NULL,NULL,NULL,"1905.000"
"2021-06-23",NULL,NULL,NULL,NULL,"214824",NULL,NULL,NULL,"1960.000"
"2021-06-24",NULL,NULL,NULL,NULL,"208060",NULL,NULL,NULL,"1899.000"
"2021-06-25","9542612","7295715","2246897",NULL,"213129","8.710","6.660","2.050","1945.000"
"2021-06-26",NULL,NULL,NULL,NULL,"225893",NULL,NULL,NULL,"2061.000"
"2021-06-27","10065414","7538128","2527286",NULL,"236867","9.190","6.880","2.310","2162.000"
"2021-06-28",NULL,NULL,NULL,NULL,"222783",NULL,NULL,NULL,"2033.000"
"2021-06-29","10236354","7665974","2570380",NULL,"201021","9.340","7.000","2.350","1834.000"
"2021-06-30","10443407","7810469","2632938","207053","196628","9.530","7.130","2.400","1794.000"
"2021-07-01","10703704","8002640","2701064","260297","199842","9.770","7.300","2.460","1824.000"
"2021-07-02",NULL,NULL,NULL,NULL,"213695",NULL,NULL,NULL,"1950.000"
"2021-07-03",NULL,NULL,NULL,NULL,"224177",NULL,NULL,NULL,"2046.000"
"2021-07-04","11708029","8839124","2868905",NULL,"234659","10.680","8.070","2.620","2141.000"
"2021-07-05",NULL,NULL,NULL,NULL,"241005",NULL,NULL,NULL,"2199.000"
"2021-07-06","11967805","9047357","2920448",NULL,"247350","10.920","8.260","2.670","2257.000"
"2021-07-07","12179437","9208070","2971367","211632","248004","11.110","8.400","2.710","2263.000"
"2021-07-08","12489777","9399801","3089976","310340","255153","11.400","8.580","2.820","2328.000"
"2021-07-09",NULL,NULL,NULL,NULL,"239656",NULL,NULL,NULL,"2187.000"
"2021-07-10","12942364","9576619","3365745",NULL,"224159","11.810","8.740","3.070","2046.000"
"2021-07-11","13122277","9657361","3464916","179913","202035","11.970","8.810","3.160","1844.000"
"2021-07-12","13196282","9669940","3526342","74005","194052","12.040","8.820","3.220","1771.000"
"2021-07-13","13442299","9771359","3670940","246017","210642","12.270","8.920","3.350","1922.000"
"2021-07-14",NULL,NULL,NULL,NULL,"225567",NULL,NULL,NULL,"2058.000"
"2021-07-15","14074514","10026722","4047792",NULL,"226391","12.840","9.150","3.690","2066.000"
"2021-07-16","14465786","10177126","4288660","391272","249959","13.200","9.290","3.910","2281.000"
"2021-07-17",NULL,NULL,NULL,NULL,"247654",NULL,NULL,NULL,"2260.000"
"2021-07-18",NULL,NULL,NULL,NULL,"251975",NULL,NULL,NULL,"2299.000"
"2021-07-19","15096261","10388188","4708073",NULL,"271426","13.780","9.480","4.300","2477.000"
"2021-07-20",NULL,NULL,NULL,NULL,"273445",NULL,NULL,NULL,"2495.000"
"2021-07-21","15616562","10585261","5031301",NULL,"265451","14.250","9.660","4.590","2422.000"
"2021-07-22",NULL,NULL,NULL,NULL,"278129",NULL,NULL,NULL,"2538.000"
"2021-07-23","16426267","10866238","5560029",NULL,"280069","14.990","9.920","5.070","2556.000"
"2021-07-24",NULL,NULL,NULL,NULL,"295751",NULL,NULL,NULL,"2699.000"
"2021-07-25","17066135","11082020","5984115",NULL,"311433","15.570","10.110","5.460","2842.000"
"2021-07-26","17202421","11113107","6089314","136286","300880","15.700","10.140","5.560","2746.000"
"2021-07-27","17515376","11204316","6311060","312955","308424","15.980","10.220","5.760","2815.000"
"2021-07-28",NULL,NULL,NULL,NULL,"403013",NULL,NULL,NULL,"3678.000"
"2021-07-29","19359927","11524212","7835715",NULL,"476930","17.670","10.520","7.150","4352.000"
"2021-07-30",NULL,NULL,NULL,NULL,"472795",NULL,NULL,NULL,"4315.000"
"2021-07-31",NULL,NULL,NULL,NULL,"480791",NULL,NULL,NULL,"4388.000"
"2021-08-01",NULL,NULL,NULL,NULL,"488786",NULL,NULL,NULL,"4460.000"
"2021-08-02","20863544","11747581","9115963",NULL,"523018","19.040","10.720","8.320","4773.000"
"2021-08-03","22488705","12206553","10282152","1625161","710476","20.520","11.140","9.380","6484.000"
"2021-08-04",NULL,NULL,NULL,NULL,"629471",NULL,NULL,NULL,"5744.000"
"2021-08-05","23199187","12493997","10705190",NULL,"548466","21.170","11.400","9.770","5005.000"
"2021-08-06",NULL,NULL,NULL,NULL,"580044",NULL,NULL,NULL,"5293.000"
"2021-08-07",NULL,NULL,NULL,NULL,"611622",NULL,NULL,NULL,"5581.000"
"2021-08-08","24990042","13375452","11614590",NULL,"643200","22.810","12.210","10.600","5870.000"
"2021-08-09",NULL,NULL,NULL,NULL,"643664",NULL,NULL,NULL,"5874.000"
"2021-08-10",NULL,NULL,NULL,NULL,"465663",NULL,NULL,NULL,"4249.000"
"2021-08-11","26127502","14100119","12027383",NULL,"469079","23.840","12.870","10.980","4281.000"
"2021-08-12",NULL,NULL,NULL,NULL,"478309",NULL,NULL,NULL,"4365.000"
"2021-08-13",NULL,NULL,NULL,NULL,"453008",NULL,NULL,NULL,"4134.000"
"2021-08-14",NULL,NULL,NULL,NULL,"427707",NULL,NULL,NULL,"3903.000"
"2021-08-15","27806881","15241864","12565017",NULL,"402406","25.380","13.910","11.470","3672.000"
"2021-08-16","28308493","15565411","12743082","501612","419900","25.830","14.200","11.630","3832.000"
"2021-08-17",NULL,NULL,NULL,NULL,"424217",NULL,NULL,NULL,"3871.000"
"2021-08-18","29127240","16250043","12877197",NULL,"428534","26.580","14.830","11.750","3911.000"
